<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURRUB,D,20200503,000000,82.8070000,82.8070000,82.3270000,82.5210000,2029
EURRUB,D,20200504,000000,82.5060000,83.0623000,81.1380000,81.1550000,289057
EURRUB,D,20200505,000000,81.1680000,81.6650000,79.6590000,79.6760000,296759
EURRUB,D,20200506,000000,79.6800000,81.1326000,79.2896000,80.5370000,329091
EURRUB,D,20200507,000000,80.5600000,80.5680000,79.2729000,80.0590000,304152
EURRUB,D,20200508,000000,80.0850000,80.4670000,79.1914000,79.4890000,206241
EURRUB,D,20200510,000000,79.4170000,79.6166000,79.3640000,79.5380000,55
EURRUB,D,20200511,000000,79.5230000,79.9931000,79.0800000,79.4820000,39406
EURRUB,D,20200512,000000,79.4590000,80.0304000,79.1342000,79.7223000,199585
EURRUB,D,20200513,000000,79.7568000,80.3771000,79.4002000,79.9600000,255644
EURRUB,D,20200514,000000,79.9480000,80.3510000,79.1783000,79.7440000,254423
EURRUB,D,20200515,000000,79.7180000,79.9079000,78.9448000,79.3380000,238087
EURRUB,D,20200517,000000,79.6480000,79.8990000,79.3330000,79.5792000,172
EURRUB,D,20200518,000000,79.6550000,79.7220000,78.6000000,79.1985000,297287
EURRUB,D,20200519,000000,79.1985000,79.5720000,78.9635000,79.2330000,222247
EURRUB,D,20200520,000000,79.2340000,79.4670000,77.8590000,78.1710000,223968
EURRUB,D,20200521,000000,78.1840000,78.3320000,77.4100000,77.4100000,225618
EURRUB,D,20200522,000000,77.7830000,78.6131000,77.3470000,77.9060000,248894
EURRUB,D,20200524,000000,77.8050000,78.1240000,77.7550000,77.9200000,65
EURRUB,D,20200525,000000,77.9190000,78.3415000,77.4080000,77.9884000,157937
EURRUB,D,20200526,000000,77.9882000,78.1400000,77.4476000,77.5938000,216296
EURRUB,D,20200527,000000,77.6247000,78.5306000,77.3366000,78.0640000,258997
EURRUB,D,20200528,000000,78.0630000,78.3787000,77.6803000,78.1080000,247033
EURRUB,D,20200529,000000,78.1190000,78.7446000,77.6880000,77.9320000,274756
EURRUB,D,20200531,000000,78.0160000,78.2870000,77.6230000,77.8200000,322
EURRUB,D,20200601,000000,77.8050000,78.2220000,76.6200000,76.8770000,305393
EURRUB,D,20200602,000000,76.7240000,77.1542000,76.5034000,76.7800000,247717
EURRUB,D,20200603,000000,76.7803000,77.2741000,76.2846000,76.6970000,291910
EURRUB,D,20200604,000000,76.9750000,78.5829000,76.5610000,78.1759000,285802
EURRUB,D,20200605,000000,78.1795000,78.3862000,77.0999000,77.4040000,297288
EURRUB,D,20200607,000000,77.0050000,77.5510000,76.7200000,77.0212000,518
EURRUB,D,20200608,000000,77.1070000,77.5141000,76.7700000,76.9305000,297594
EURRUB,D,20200609,000000,76.9305000,78.0101000,76.7416000,77.6225000,292286
EURRUB,D,20200610,000000,77.6225000,78.3231000,77.5400000,77.9017000,314948
EURRUB,D,20200611,000000,77.9052000,79.5470000,77.6421000,78.9700000,379510
EURRUB,D,20200612,000000,79.0670000,79.5040000,78.0024000,78.6760000,192629
EURRUB,D,20200614,000000,78.4700000,78.7690000,78.1288000,78.2910000,71
EURRUB,D,20200615,000000,78.2790000,79.2681000,78.2600000,78.8067000,374729
EURRUB,D,20200616,000000,78.7940000,79.2066000,77.8949000,78.2320000,308791
EURRUB,D,20200617,000000,78.2300000,78.5740000,78.0279000,78.3110000,238540
EURRUB,D,20200618,000000,78.3000000,78.5160000,77.8098000,78.1412000,286631
EURRUB,D,20200619,000000,78.3350000,78.3730000,77.4612000,77.5090000,277226
EURRUB,D,20200621,000000,77.6560000,78.0370000,77.5440000,77.8200000,80
EURRUB,D,20200622,000000,77.9260000,78.0590000,77.4890000,77.6840000,263947
EURRUB,D,20200623,000000,77.6840000,78.2370000,77.4849000,77.6720000,225198
EURRUB,D,20200624,000000,77.6728000,78.4684000,77.5904000,78.1630000,153400
EURRUB,D,20200625,000000,78.1300000,78.3510000,77.2778000,77.3940000,290490
EURRUB,D,20200626,000000,77.3998000,78.3843000,77.2159000,78.2670000,243065
EURRUB,D,20200628,000000,78.2630000,78.4674000,78.0880000,78.0880000,70
EURRUB,D,20200629,000000,78.2820000,79.1899000,78.1620000,78.7847000,6170
EURRUB,D,20200630,000000,78.8090000,80.1502000,78.4881000,79.8683000,268680
EURRUB,D,20200701,000000,79.9770000,80.0280000,79.3062000,79.4199000,135158
EURRUB,D,20200702,000000,79.4261000,79.7840000,78.9070000,78.9240000,227184
EURRUB,D,20200703,000000,78.9210000,80.5676000,78.8180000,80.1910000,158467
EURRUB,D,20200705,000000,80.2780000,80.4710000,80.1295000,80.2760000,53
EURRUB,D,20200706,000000,80.2680000,81.5560000,79.8080000,81.1303000,212350
EURRUB,D,20200707,000000,81.2360000,81.6293000,80.1590000,80.5500000,259430
EURRUB,D,20200708,000000,80.5360000,80.8674000,80.0833000,80.7630000,238416
EURRUB,D,20200709,000000,80.7580000,81.0550000,79.7542000,79.8192000,253076
EURRUB,D,20200710,000000,79.8192000,80.4655000,79.6620000,79.9905000,254374
EURRUB,D,20200712,000000,80.0620000,80.2940000,79.8460000,79.9300000,95
EURRUB,D,20200713,000000,80.0197000,80.5992000,79.8222000,80.2360000,213856
EURRUB,D,20200714,000000,80.4790000,81.1382000,80.1574000,81.0690000,259359
EURRUB,D,20200715,000000,80.8040000,81.3016000,80.5379000,80.9240000,230180
EURRUB,D,20200716,000000,81.0660000,81.5647000,80.6000000,81.3770000,215686
EURRUB,D,20200717,000000,81.3853000,82.2719000,81.2329000,82.1260000,190283
EURRUB,D,20200719,000000,82.0340000,82.2320000,81.7980000,82.2320000,75
EURRUB,D,20200720,000000,82.1920000,82.5580000,81.4489000,81.5560000,6481
EURRUB,D,20200721,000000,81.6310000,81.8240000,80.8088000,81.4327000,233066
EURRUB,D,20200722,000000,81.4442000,82.5740000,81.3526000,82.3310000,264505
EURRUB,D,20200723,000000,82.3360000,82.9036000,82.0269000,82.7230000,255371
