<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD000TOM,D,20200609,000000,1.1270900,1.1363400,1.1242900,1.1336900,44167000
EURUSD000TOM,D,20200610,000000,1.1350800,1.1421400,1.1330000,1.1373000,62523000
EURUSD000TOM,D,20200611,000000,1.1361500,1.1400100,1.1288000,1.1289500,56956000
EURUSD000TOM,D,20200615,000000,1.1233000,1.1330000,1.1228600,1.1316400,33495000
EURUSD000TOM,D,20200616,000000,1.1340900,1.1350200,1.1230000,1.1261600,91559000
EURUSD000TOM,D,20200617,000000,1.1284400,1.1291200,1.1210000,1.1239800,35509000
EURUSD000TOM,D,20200618,000000,1.1255000,1.1260000,1.1187600,1.1205600,80248000
EURUSD000TOM,D,20200619,000000,1.1216000,1.1254600,1.1170000,1.1181200,34122000
EURUSD000TOM,D,20200622,000000,1.1192600,1.1268800,1.1190000,1.1265000,51168000
EURUSD000TOM,D,20200623,000000,1.1276000,1.1345100,1.1276000,1.1308300,46930000
EURUSD000TOM,D,20200625,000000,1.1237000,1.1248300,1.1190400,1.1217500,58939000
EURUSD000TOM,D,20200626,000000,1.1208600,1.1238100,1.1197600,1.1225200,38929000
EURUSD000TOM,D,20200629,000000,1.1259200,1.1286000,1.1220800,1.1242900,36593000
EURUSD000TOM,D,20200630,000000,1.1209600,1.1263000,1.1192000,1.1232300,104954000
EURUSD000TOM,D,20200702,000000,1.1269600,1.1300900,1.1224200,1.1240300,65422000
EURUSD000TOM,D,20200703,000000,1.1240000,1.1254800,1.1219100,1.1254000,22083000
EURUSD000TOM,D,20200706,000000,1.1293100,1.1344700,1.1283000,1.1307200,28551000
EURUSD000TOM,D,20200707,000000,1.1293200,1.1306200,1.1260000,1.1274400,19146000
EURUSD000TOM,D,20200708,000000,1.1274800,1.1350600,1.1268000,1.1330000,48556000
EURUSD000TOM,D,20200709,000000,1.1359000,1.1360000,1.1280000,1.1283900,36677000
EURUSD000TOM,D,20200710,000000,1.1264200,1.1324600,1.1253000,1.1300200,37002000
EURUSD000TOM,D,20200713,000000,1.1331000,1.1373600,1.1302000,1.1343600,48719000
EURUSD000TOM,D,20200714,000000,1.1342200,1.1408000,1.1325800,1.1394100,56526000
