<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB,D,20210528,000000,73.3890000,73.6992100,73.0000000,73.2020000,1016163
USDRUB,D,20210530,000000,73.2050000,73.2923000,72.9310000,73.0670000,1554
USDRUB,D,20210531,000000,73.2175000,73.4810000,73.0700000,73.3870000,422216
USDRUB,D,20210601,000000,73.3837000,73.7850000,73.0775000,73.5500000,902489
USDRUB,D,20210602,000000,73.5501000,73.7394400,72.8690000,73.1563000,1055226
USDRUB,D,20210603,000000,73.1588000,73.3445500,72.9390000,73.2130000,1037513
USDRUB,D,20210604,000000,73.2106000,73.3200000,72.7130000,72.7210000,951292
USDRUB,D,20210606,000000,72.8339000,73.4454000,72.7490000,73.0119000,2316
USDRUB,D,20210607,000000,73.0053000,73.1750000,72.6606000,72.8015000,801198
USDRUB,D,20210608,000000,72.7907000,72.9110000,72.1630000,72.2638000,931683
USDRUB,D,20210609,000000,72.2628000,72.4742000,71.9348000,72.3391000,983707
USDRUB,D,20210610,000000,72.3409000,72.4858000,71.6340000,71.7310000,1072932
USDRUB,D,20210611,000000,71.7320000,72.2613000,71.4990000,71.9460000,985053
USDRUB,D,20210613,000000,71.9582000,72.2766000,71.9500000,72.0761000,679
USDRUB,D,20210614,000000,72.0636000,72.3732000,71.7940000,71.9740000,554681
USDRUB,D,20210615,000000,72.0080000,72.3464000,71.6804000,72.1937000,916150
USDRUB,D,20210616,000000,72.1975000,72.6932000,71.5715000,72.4600000,1062659
USDRUB,D,20210617,000000,72.5165000,72.7000000,72.0336000,72.4185000,1150427
USDRUB,D,20210618,000000,72.4408000,72.9160000,72.0269000,72.7073000,1219194
USDRUB,D,20210620,000000,72.6860000,72.8654000,72.5150000,72.8080000,1544
USDRUB,D,20210621,000000,72.8071000,73.3432600,72.6350000,73.1317000,1176938
USDRUB,D,20210622,000000,73.1340000,73.2950100,72.5980000,72.8700000,978777
USDRUB,D,20210623,000000,72.8699000,73.3070000,72.2969000,72.6425000,1159995
USDRUB,D,20210624,000000,72.6422000,72.6732000,72.0697000,72.2714000,1147413
USDRUB,D,20210625,000000,72.2717000,72.4850000,71.9840000,72.2014000,853395
USDRUB,D,20210627,000000,72.1954000,72.2717000,72.0010000,72.2274000,447
USDRUB,D,20210628,000000,72.2122000,72.4625000,71.9110000,72.1160000,844693
USDRUB,D,20210629,000000,72.2442000,73.0430000,72.0970000,72.7402000,969059
USDRUB,D,20210630,000000,72.7406000,73.2294000,72.5904000,73.0264000,1060914
USDRUB,D,20210701,000000,73.0392000,73.5912000,72.7577000,73.4866000,1222187
